timestamp_utc,carpark,available_spaces,total_spaces,occupancy,status,parking_option,source_last_updated
2025-09-21 13:17:57,Toka Puia,394,420,0.0619,,Short-term,
2025-09-21 13:17:57,Victoria Street,508,895,0.4324,,Short-term,
2025-09-21 14:10:18,Civic,783,928,0.1562,,Short-term,
2025-09-21 14:10:18,Downtown,1344,1944,0.3086,,Short-term,
2025-09-21 14:10:18,Ronwood,523,678,0.2286,,Short-term,
2025-09-21 14:10:18,Toka Puia,394,420,0.0619,,Short-term,
2025-09-21 14:10:18,Victoria Street,508,895,0.4324,,Short-term,
2025-09-21 15:11:20,Civic,783,928,0.1562,,Short-term,
2025-09-21 15:11:20,Downtown,1344,1944,0.3086,,Short-term,
2025-09-21 15:11:20,Ronwood,523,678,0.2286,,Short-term,
2025-09-21 15:11:20,Toka Puia,394,420,0.0619,,Short-term,
2025-09-21 15:11:20,Victoria Street,508,895,0.4324,,Short-term,
2025-09-21 16:14:10,Civic,783,928,0.1562,,Short-term,
2025-09-21 16:14:10,Downtown,1344,1944,0.3086,,Short-term,
2025-09-21 16:14:10,Ronwood,523,678,0.2286,,Short-term,
2025-09-21 16:14:10,Toka Puia,394,420,0.0619,,Short-term,
2025-09-21 16:14:10,Victoria Street,508,895,0.4324,,Short-term,
2025-09-21 17:10:10,Civic,783,928,0.1562,,Short-term,
2025-09-21 17:10:10,Downtown,1344,1944,0.3086,,Short-term,
2025-09-21 17:10:10,Ronwood,523,678,0.2286,,Short-term,
2025-09-21 17:10:10,Toka Puia,394,420,0.0619,,Short-term,
2025-09-21 17:10:10,Victoria Street,508,895,0.4324,,Short-term,
2025-09-21 18:16:20,Civic,773,928,0.167,,Short-term,
2025-09-21 18:16:20,Downtown,1304,1944,0.3292,,Short-term,
2025-09-21 18:16:20,Ronwood,516,678,0.2389,,Short-term,
2025-09-21 18:16:20,Toka Puia,391,420,0.069,,Short-term,
2025-09-21 18:16:20,Victoria Street,504,895,0.4369,,Short-term,
2025-09-21 19:09:49,Civic,750,928,0.1918,,Short-term,
2025-09-21 19:09:49,Downtown,1252,1944,0.356,,Short-term,
2025-09-21 19:09:49,Ronwood,497,678,0.267,,Short-term,
2025-09-21 19:09:49,Toka Puia,384,420,0.0857,,Short-term,
2025-09-21 19:09:49,Victoria Street,486,895,0.457,,Short-term,
2025-09-21 20:13:36,Civic,699,928,0.2468,,Short-term,
2025-09-21 20:13:36,Downtown,1093,1944,0.4378,,Short-term,
2025-09-21 20:13:36,Ronwood,399,678,0.4115,,Short-term,
2025-09-21 20:13:36,Toka Puia,342,420,0.1857,,Short-term,
2025-09-21 20:13:36,Victoria Street,460,895,0.486,,Short-term,
2025-09-21 21:11:03,Civic,636,928,0.3147,,Short-term,
2025-09-21 21:11:03,Downtown,861,1944,0.5571,,Short-term,
2025-09-21 21:11:03,Ronwood,280,678,0.587,,Short-term,
2025-09-21 21:11:03,Toka Puia,298,420,0.2905,,Short-term,
2025-09-21 21:11:03,Victoria Street,400,895,0.5531,,Short-term,
2025-09-21 22:11:42,Civic,572,928,0.3836,,Short-term,
2025-09-21 22:11:42,Downtown,726,1944,0.6265,,Short-term,
2025-09-21 22:11:42,Ronwood,244,678,0.6401,,Short-term,
2025-09-21 22:11:42,Toka Puia,279,420,0.3357,,Short-term,
2025-09-21 22:11:42,Victoria Street,325,895,0.6369,,Short-term,
2025-09-21 23:11:29,Civic,519,928,0.4407,,Short-term,
2025-09-21 23:11:29,Downtown,632,1944,0.6749,,Short-term,
2025-09-21 23:11:29,Ronwood,246,678,0.6372,,Short-term,
